Date,Stock,Open,High,Low,Close,Volume
2015-02-05,MSFT,36.10219192504883,36.2637788923907,35.600418112052054,35.90658562428903,36548200
2015-02-06,MSFT,36.068172454833984,36.3913496325542,35.84705327698048,36.29779808814081,34616600
2015-02-09,MSFT,36.02564239501953,36.34881950532154,35.89807154392988,35.92358766070472,31381100
2015-02-10,MSFT,36.2297477722168,36.37432827007501,35.87255462032208,36.348815400442845,29670700
2015-02-11,MSFT,36.04265594482422,36.27228155499068,35.89807541504748,36.27228155499068,38262500
2015-02-12,MSFT,36.64649200439453,36.64649200439453,36.15322135252605,36.28079224366791,33268800
2015-02-13,MSFT,37.309844970703125,37.309844970703125,36.69751325765485,36.89311953695962,40264900
2015-02-17,MSFT,37.32696914672852,37.68670430127669,36.99292515948473,37.66100986662304,33695700
2015-02-18,MSFT,37.28415298461914,37.42976245265416,37.16424122703168,37.36980657386043,27111700
2015-02-19,MSFT,37.25845336914063,37.28414780867083,36.87302043943816,36.98436845631885,27603400
2015-02-20,MSFT,37.56681442260742,37.58394514478525,37.078600276268574,37.26703168552229,29721100
2015-02-23,MSFT,37.81520080566406,37.849458978874935,37.38694260069551,37.4297677677222,32518800
2015-02-24,MSFT,37.76380157470703,37.94366920295493,37.61819211325621,37.81519372592794,25271700
2015-02-25,MSFT,37.67815017700195,37.76380049256559,37.5154100031409,37.643888743836456,29759800
2015-02-26,MSFT,37.73810577392578,37.88371196278353,37.59249631771796,37.678149900002,28957300
2015-02-27,MSFT,37.55823516845703,37.8580178076901,37.39549826191344,37.79806193331351,33807700
2015-03-02,MSFT,37.58394241333008,37.84946041941159,37.30129041896481,37.40407147721085,31924000
2015-03-03,MSFT,37.07001495361328,37.54110141221429,36.90727807440992,37.309841678178216,31748600
2015-03-04,MSFT,36.88159942626953,37.010074933055975,36.72742620424504,36.83877098998977,25748700
2015-03-05,MSFT,36.92440032958984,37.03574830951097,36.676009938746105,36.89013891002199,23193500
2015-03-06,MSFT,36.28202438354492,36.92441149156137,36.102156777464266,36.83019419294299,36248800
2015-03-09,MSFT,36.70172500610352,36.941551810577614,36.13642433477633,36.13642433477633,32108000
2015-03-10,MSFT,35.99938201904297,36.58181341257293,35.99938201904297,36.273466996309935,39159700
2015-03-11,MSFT,35.9565544128418,36.29059525199808,35.83664265184728,36.23920636434354,32215300
2015-03-12,MSFT,35.1342887878418,35.67389481457991,34.9972463504392,35.39980993977471,59992500
2015-03-13,MSFT,35.44264602661133,35.51973262564894,34.78312807203411,34.86021467107172,58007700
2015-03-16,MSFT,35.5968132019043,35.665332796483234,35.356986452503286,35.519726615909306,35273500
2015-03-17,MSFT,35.71672821044922,35.82807623759521,35.24564492731641,35.43407628015942,31673400
2015-03-18,MSFT,36.40193939208984,36.684591313344704,35.399816981859175,35.485467297018175,44194800
2015-03-19,MSFT,36.222076416015625,36.47903066180198,36.16212053424383,36.19637870429164,33879100
2015-03-20,MSFT,36.7274169921875,36.81306730856211,36.39337618403632,36.45333205896858,71904500
2015-03-23,MSFT,36.71028900146485,36.94154879366928,36.64176612939669,36.72741971948188,26246100
2015-03-24,MSFT,36.74454116821289,36.97579763472952,36.61606244917072,36.64175688603933,25513300
2015-03-25,MSFT,35.511165618896484,36.77024564690157,35.49403490052255,36.76167865403938,43469900
2015-03-26,MSFT,35.29702377319336,35.639631482048685,35.04863334764071,35.30559076295683,37495600
2015-03-27,MSFT,35.09147262573242,35.48546932574905,34.97156087071434,35.21994810581596,34401400
2015-03-30,MSFT,35.08290481567383,35.57968580899963,35.04007965664407,35.202816567897244,35049700
2015-03-31,MSFT,34.82594299316406,35.14285302163694,34.723161980455195,34.92872400587293,34887200
2015-04-01,MSFT,34.87733840942383,34.91159657197853,34.526166921277266,34.77455411971035,36865300
2015-04-02,MSFT,34.50904083251953,34.89447380224075,34.3634313695803,34.82595093324577,37487500
2015-04-06,MSFT,35.58824157714844,35.78523987852119,34.41481549186316,34.55185793052896,39223700
2015-04-07,MSFT,35.57112121582031,35.89659832762814,35.38268984991087,35.63964408876951,28809400
2015-04-08,MSFT,35.47690200805664,35.70816179090699,35.151428180948955,35.5111634427049,24753400
2015-04-09,MSFT,35.528289794921875,35.64820153410782,35.33129147092355,35.33129147092355,25723900
2015-04-10,MSFT,35.73385238647461,35.93085069545719,35.46833122183743,35.65676580753798,28022000
2015-04-13,MSFT,35.768123626708984,36.02508116202886,35.45121347179213,35.45978046555655,30276700
2015-04-14,MSFT,35.67390441894531,35.99937825330932,35.45120835611698,35.802379900715216,24244400
2015-04-15,MSFT,36.19637680053711,36.36768071116842,35.699599053791665,35.76811865763399,27343600
2015-04-16,MSFT,36.1107177734375,36.26489092910307,35.81950217577472,35.93085018094419,22509700
2015-04-17,MSFT,35.64820861816406,35.750992929905884,35.254211891871904,35.691033781047906,42387600
2015-04-20,MSFT,36.75312042236328,36.97581325981148,35.69960559001611,35.742430758677195,46057700
2015-04-21,MSFT,36.52184295654297,36.95866796108161,36.42762567056995,36.83018924978216,26013800
2015-04-22,MSFT,36.82163619995117,36.941547956001,36.4447669468228,36.54754798524404,25064300
2015-04-23,MSFT,37.12141418457031,37.35267396277477,36.65889462816138,36.73598122089621,46309500
2015-04-24,MSFT,41.00143432617188,41.23269411902848,39.09997036382377,39.10853408918125,130933700
2015-04-27,MSFT,41.13847732543945,41.224130916853234,40.4447012054152,40.45326493088136,59248200
2015-04-28,MSFT,42.10633850097656,42.14916365978447,40.85582556662476,40.92434516724737,60730800
2015-04-29,MSFT,42.02067565917969,42.23480465674866,41.54102552837949,41.72946009179193,47804600
2015-04-30,MSFT,41.66094970703125,42.4318156358222,41.62668827300717,41.712341858067376,64725500
2015-05-01,MSFT,41.67808532714844,41.86651996909859,41.45539251449418,41.60956571838965,38937300
2015-05-04,MSFT,41.318355560302734,41.85795857881501,41.26696339634161,41.429700347858656,34039500
2015-05-05,MSFT,40.77017211914063,41.249822394517054,40.52178489027712,40.95860673935104,50369200
